Player,Pos,Age,Tm,Season,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Eddie Basden,SF,22,CHI,2005-06,19,141,10.3,0.471,0.189,0.27,5.7,17.0,11.4,8.8,3.3,1.1,17.9,16.1,-0.1,0.3,0.2,0.065,-4.0,2.7,-1.4,0.0
Eddie Gill,PG,27,IND,2005-06,41,122,9.9,0.408,0.511,0.511,0.0,13.8,7.1,15.8,4.8,0.6,14.0,24.5,-0.2,0.3,0.1,0.02,-3.9,1.3,-2.5,0.0
Eddie Gill,PG,29,TOT,2007-08,14,154,10.9,0.543,0.484,0.29,0.8,15.8,8.3,22.1,2.4,1.0,20.5,13.0,0.1,0.2,0.2,0.077,-2.5,0.0,-2.6,0.0
Eddie Gill,PG,29,NJN,2007-08,13,149,11.9,0.576,0.483,0.31,0.8,16.4,8.6,22.0,2.5,1.0,19.5,12.6,0.1,0.2,0.3,0.101,-1.9,0.3,-1.6,0.0
Eddie Gill,PG,29,SEA,2007-08,1,5,-18.9,0.0,0.5,0.0,0.0,0.0,0.0,25.4,0.0,0.0,33.3,26.0,-0.1,0.0,-0.1,-0.634,-21.7,-9.2,-30.9,0.0
Eddie Gill,PG,30,MIL,2008-09,6,43,15.5,0.778,0.333,0.0,0.0,11.5,5.5,41.2,3.6,1.9,35.7,14.6,0.1,0.1,0.1,0.155,-0.5,-0.9,-1.4,0.0
Eddie Griffin,C,23,MIN,2005-06,70,1359,12.2,0.397,0.222,0.2,9.7,24.3,17.2,4.7,0.5,8.2,9.7,15.6,-1.0,2.6,1.5,0.055,-5.2,3.2,-2.0,0.0
Eddie Griffin,PF,24,MIN,2006-07,13,92,5.2,0.308,0.037,0.185,9.3,22.8,16.3,6.5,0.0,5.9,17.0,17.8,-0.3,0.1,-0.2,-0.088,-9.7,1.0,-8.7,-0.2
Eddie House,PG,27,PHO,2005-06,81,1421,15.2,0.512,0.416,0.054,1.2,8.9,5.2,16.4,1.5,0.6,8.9,26.9,0.5,1.1,1.6,0.054,0.3,-2.7,-2.4,-0.1
Eddie House,SG,28,NJN,2006-07,56,946,15.0,0.536,0.416,0.086,1.8,9.7,5.7,13.1,1.5,0.3,5.8,22.8,1.1,0.8,1.9,0.094,0.7,-2.8,-2.1,0.0
Eddie House,PG,29,BOS,2007-08,78,1480,13.0,0.534,0.561,0.068,1.6,11.2,6.7,16.9,2.1,0.6,12.2,19.6,1.1,2.8,3.9,0.127,0.5,0.3,0.8,1.1
Eddie House,PG,30,BOS,2008-09,81,1479,15.4,0.592,0.607,0.095,0.9,11.5,6.5,10.3,2.2,0.4,8.6,20.1,2.5,2.4,4.9,0.158,2.4,-0.4,2.0,1.5
Eddie House,PG,31,TOT,2009-10,68,1217,10.5,0.495,0.499,0.114,1.3,9.3,5.3,11.0,1.7,0.5,9.0,20.0,0.0,1.1,1.1,0.042,-1.4,-1.8,-3.2,-0.4
Eddie House,SG,32,MIA,2010-11,56,978,11.9,0.535,0.545,0.125,1.2,9.5,5.6,10.0,1.7,0.2,7.9,17.6,1.0,1.2,2.2,0.108,0.2,-1.4,-1.2,0.2
