player_name,Zone,Contest,FGA,FGM,FG_PCT
michael kidd-gilchrist,Free Throw / Short Range,Heavy Contest,159,68,0.4277
michael kidd-gilchrist,Free Throw / Short Range,Slight Contest,14,8,0.5714
michael kidd-gilchrist,Mid-Range,Heavy Contest,24,8,0.3333
michael kidd-gilchrist,Mid-Range,Slight Contest,65,31,0.4769
michael kidd-gilchrist,Mid-Range,Wide Open,36,16,0.4444
michael kidd-gilchrist,Restricted Area (Layup),Heavy Contest,62,36,0.5806
mike conley,Above the Break 3,Heavy Contest,29,13,0.4483
mike conley,Above the Break 3,Slight Contest,82,33,0.4024
mike conley,Above the Break 3,Wide Open,75,24,0.32
mike conley,Corner 3,Slight Contest,11,6,0.5455
mike conley,Corner 3,Wide Open,13,7,0.5385
mike conley,Free Throw / Short Range,Heavy Contest,220,94,0.4273
mike conley,Free Throw / Short Range,Slight Contest,42,24,0.5714
mike conley,Mid-Range,Heavy Contest,34,8,0.2353
mike conley,Mid-Range,Slight Contest,59,23,0.3898
mike conley,Mid-Range,Wide Open,33,12,0.3636
mike conley,Restricted Area (Layup),Heavy Contest,89,52,0.5843
mike conley,Restricted Area (Layup),Slight Contest,16,12,0.75
mike miller,Above the Break 3,Slight Contest,33,8,0.2424
mike miller,Above the Break 3,Wide Open,32,13,0.4062
mike scott,Above the Break 3,Heavy Contest,16,4,0.25
mike scott,Above the Break 3,Slight Contest,48,16,0.3333
mike scott,Above the Break 3,Wide Open,73,27,0.3699
mike scott,Free Throw / Short Range,Heavy Contest,85,32,0.3765
mike scott,Free Throw / Short Range,Slight Contest,32,19,0.5938
mike scott,Mid-Range,Heavy Contest,15,6,0.4
mike scott,Mid-Range,Slight Contest,21,9,0.4286
mike scott,Restricted Area (Layup),Heavy Contest,37,22,0.5946
mirza teletovic,Above the Break 3,Heavy Contest,26,7,0.2692
mirza teletovic,Above the Break 3,Slight Contest,106,29,0.2736
mirza teletovic,Above the Break 3,Wide Open,49,19,0.3878
mirza teletovic,Free Throw / Short Range,Heavy Contest,60,23,0.3833
mirza teletovic,Free Throw / Short Range,Slight Contest,17,10,0.5882
mirza teletovic,Mid-Range,Slight Contest,11,7,0.6364
mirza teletovic,Restricted Area (Layup),Heavy Contest,18,11,0.6111
mnta ellis,Above the Break 3,Heavy Contest,37,7,0.1892
mnta ellis,Above the Break 3,Slight Contest,81,31,0.3827
mnta ellis,Above the Break 3,Wide Open,68,17,0.25
mnta ellis,Corner 3,Slight Contest,13,5,0.3846
mnta ellis,Corner 3,Wide Open,26,11,0.4231
mnta ellis,Free Throw / Short Range,Heavy Contest,247,122,0.4939
mnta ellis,Free Throw / Short Range,Slight Contest,57,25,0.4386
mnta ellis,Free Throw / Short Range,Wide Open,14,11,0.7857
mnta ellis,Mid-Range,Heavy Contest,130,51,0.3923
mnta ellis,Mid-Range,Slight Contest,185,79,0.427
mnta ellis,Mid-Range,Wide Open,62,29,0.4677
mnta ellis,Restricted Area (Layup),Heavy Contest,104,68,0.6538
mnta ellis,Restricted Area (Layup),Slight Contest,15,10,0.6667
mo williams,Above the Break 3,Heavy Contest,75,26,0.3467
mo williams,Above the Break 3,Slight Contest,102,35,0.3431
mo williams,Above the Break 3,Wide Open,34,14,0.4118
mo williams,Free Throw / Short Range,Heavy Contest,63,27,0.4286
mo williams,Free Throw / Short Range,Slight Contest,14,8,0.5714
mo williams,Mid-Range,Heavy Contest,124,52,0.4194
mo williams,Mid-Range,Slight Contest,79,35,0.443
mo williams,Mid-Range,Wide Open,30,18,0.6
mo williams,Restricted Area (Layup),Heavy Contest,17,8,0.4706
nate robinson,Above the Break 3,Heavy Contest,19,3,0.1579
nate robinson,Above the Break 3,Slight Contest,37,11,0.2973
nate robinson,Above the Break 3,Wide Open,22,6,0.2727
nate robinson,Free Throw / Short Range,Heavy Contest,35,8,0.2286
nate robinson,Mid-Range,Heavy Contest,21,6,0.2857
nate robinson,Mid-Range,Slight Contest,21,12,0.5714
nate robinson,Restricted Area (Layup),Heavy Contest,15,10,0.6667
nene hilario,Free Throw / Short Range,Heavy Contest,152,80,0.5263
nene hilario,Free Throw / Short Range,Slight Contest,22,16,0.7273
nene hilario,Mid-Range,Heavy Contest,13,2,0.1538
nene hilario,Mid-Range,Slight Contest,82,27,0.3293
nene hilario,Mid-Range,Wide Open,86,39,0.4535
nene hilario,Restricted Area (Layup),Heavy Contest,100,68,0.68
nene hilario,Restricted Area (Layup),Slight Contest,11,10,0.9091
nerles noel,Free Throw / Short Range,Heavy Contest,182,65,0.3571
nerles noel,Free Throw / Short Range,Slight Contest,29,12,0.4138
nerles noel,Mid-Range,Slight Contest,46,15,0.3261
nerles noel,Mid-Range,Wide Open,33,11,0.3333
nerles noel,Restricted Area (Layup),Heavy Contest,123,73,0.5935
nerles noel,Restricted Area (Layup),Slight Contest,19,17,0.8947
nick collison,Above the Break 3,Slight Contest,15,5,0.3333
nick collison,Above the Break 3,Wide Open,19,5,0.2632
nick collison,Free Throw / Short Range,Heavy Contest,42,18,0.4286
nick collison,Mid-Range,Slight Contest,18,5,0.2778
nick collison,Mid-Range,Wide Open,28,8,0.2857
nick collison,Restricted Area (Layup),Heavy Contest,53,30,0.566
nick young,Above the Break 3,Heavy Contest,117,41,0.3504
nick young,Above the Break 3,Slight Contest,57,25,0.4386
nick young,Above the Break 3,Wide Open,17,4,0.2353
nick young,Corner 3,Heavy Contest,15,2,0.1333
nick young,Corner 3,Wide Open,10,7,0.7
nick young,Free Throw / Short Range,Heavy Contest,67,23,0.3433
nick young,Free Throw / Short Range,Slight Contest,10,2,0.2
nick young,Mid-Range,Heavy Contest,110,38,0.3455
nick young,Mid-Range,Slight Contest,36,12,0.3333
nick young,Restricted Area (Layup),Heavy Contest,20,12,0.6
nicolas batum,Above the Break 3,Heavy Contest,24,4,0.1667
nicolas batum,Above the Break 3,Slight Contest,68,17,0.25
nicolas batum,Above the Break 3,Wide Open,96,32,0.3333
nicolas batum,Corner 3,Slight Contest,18,7,0.3889
nicolas batum,Corner 3,Wide Open,21,7,0.3333
nicolas batum,Free Throw / Short Range,Heavy Contest,63,35,0.5556
nicolas batum,Free Throw / Short Range,Slight Contest,15,10,0.6667
nicolas batum,Mid-Range,Heavy Contest,36,12,0.3333
nicolas batum,Mid-Range,Slight Contest,43,14,0.3256
nicolas batum,Mid-Range,Wide Open,30,14,0.4667
nicolas batum,Restricted Area (Layup),Heavy Contest,17,11,0.6471
nik stauskas,Above the Break 3,Heavy Contest,12,0,0.0
nik stauskas,Above the Break 3,Slight Contest,36,8,0.2222
nik stauskas,Above the Break 3,Wide Open,37,16,0.4324
nik stauskas,Free Throw / Short Range,Heavy Contest,25,8,0.32
nik stauskas,Mid-Range,Heavy Contest,21,6,0.2857
nik stauskas,Mid-Range,Slight Contest,20,9,0.45
nik stauskas,Restricted Area (Layup),Heavy Contest,16,6,0.375
nikola mirotic,Above the Break 3,Heavy Contest,10,2,0.2
nikola mirotic,Above the Break 3,Slight Contest,66,22,0.3333
nikola mirotic,Above the Break 3,Wide Open,88,29,0.3295
nikola mirotic,Corner 3,Slight Contest,11,6,0.5455
nikola mirotic,Free Throw / Short Range,Heavy Contest,76,25,0.3289
nikola mirotic,Free Throw / Short Range,Slight Contest,11,5,0.4545
nikola mirotic,Mid-Range,Heavy Contest,15,6,0.4
nikola mirotic,Mid-Range,Slight Contest,16,5,0.3125
nikola mirotic,Mid-Range,Wide Open,10,6,0.6
nikola mirotic,Restricted Area (Layup),Heavy Contest,34,21,0.6176
nikola mirotic,Restricted Area (Layup),Slight Contest,10,9,0.9
nikola vucevic,Free Throw / Short Range,Heavy Contest,376,181,0.4814
nikola vucevic,Free Throw / Short Range,Slight Contest,56,29,0.5179
nikola vucevic,Free Throw / Short Range,Wide Open,11,9,0.8182
nikola vucevic,Mid-Range,Heavy Contest,23,7,0.3043
nikola vucevic,Mid-Range,Slight Contest,123,54,0.439
nikola vucevic,Mid-Range,Wide Open,122,64,0.5246
nikola vucevic,Restricted Area (Layup),Heavy Contest,160,109,0.6812
nikola vucevic,Restricted Area (Layup),Slight Contest,22,20,0.9091
norris cole,Above the Break 3,Heavy Contest,16,4,0.25
norris cole,Above the Break 3,Slight Contest,48,10,0.2083
norris cole,Above the Break 3,Wide Open,47,15,0.3191
norris cole,Free Throw / Short Range,Heavy Contest,71,29,0.4085
norris cole,Free Throw / Short Range,Slight Contest,18,5,0.2778
norris cole,Mid-Range,Heavy Contest,30,9,0.3
